,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,Denmark,Europe,1,7.545999967193604,1.396728602554322,1.4476883185043339,0.8652491049156188,0.6259593444900512,0.3188760977458954,0.42937401363372796
1,Norway,Europe,2,7.541000035858152,1.519380636871338,1.431074711914062,0.8733333005905152,0.6380485174789428,0.328990447462082,0.34395076690483106
2,Finland,Europe,3,7.537799972534181,1.356960385032654,1.4344293450164798,0.8738355339088442,0.6215361713371277,0.217782554517746,0.398474308588028
3,Switzerland,Europe,4,7.511399991607666,1.472163910644532,1.417332349014282,0.9283182578964233,0.6206421153335573,0.2774318556518554,0.3797634570713044
4,Iceland,Europe,5,7.511000037384034,1.3865226040802,1.4928128014068602,0.9177444244232179,0.6180345270652771,0.4191240441474914,0.1401453118944168
5,Netherlands,Europe,6,7.4045999710083,1.4110129270782479,1.349645844657898,0.8785692250061036,0.5896508976211547,0.4151499659557342,0.29861436508369443
6,Canada,America,7,7.350599996948242,1.388128883255004,1.3874117982788081,0.90055753049469,0.6109541824188232,0.38959794448852536,0.3058463032455444
7,Sweden,Europe,8,7.319199983978272,1.403981453804016,1.3685744338912962,0.8989910316619873,0.6175808197937013,0.336511850435257,0.397501745721817
8,New Zealand,Oceania,9,7.313000025939942,1.3175092096023557,1.439729024734498,0.8916179411087036,0.6177824260902404,0.43280502519989017,0.4000153404254914
9,Australia,Oceania,10,7.276199983978271,1.3948849870224,1.4090063904266361,0.9145293585319522,0.6050434764595031,0.4160778499965668,0.31457274607276925
10,Israel,Africa,11,7.142199964141845,1.303722484680176,1.3219179927444462,0.90268879996109,0.41749972076606756,0.3199365309906006,0.12087442001199722
11,Austria,Europe,12,7.142000008392334,1.398341452667236,1.36396299269104,0.8836796838417055,0.576929237915039,0.29240046434974676,0.21426007308769224
12,Costa Rica,America,13,7.126199999237061,1.0356552565231318,1.3151607302474981,0.8322478530845642,0.5912283299942016,0.1964226458072662,0.10108131789922718
13,United States,America,14,6.998800006103517,1.4559458568038939,1.3285701127395622,0.8216153255538939,0.5068821046676637,0.3550797561302186,0.14084375766849522
14,Ireland,Europe,15,6.964400047302246,1.4604153278579723,1.4450562230682382,0.878932524848938,0.5721920684051514,0.38829966457176196,0.29979163066291803
15,Luxembourg,Europe,16,6.935999983215332,1.6376747195587158,1.343240733169556,0.9034898990364073,0.5838315782127379,0.2458461963748932,0.33742088480377197
16,Germany,Europe,17,6.92900004272461,1.395342676742554,1.359526070281982,0.8707361463508606,0.5585882768974304,0.2913858340091706,0.2651343876247406
17,Belgium,Europe,18,6.92139995880127,1.3753981521530159,1.3574925396728517,0.8828703738708497,0.5387621444778443,0.20888066752433776,0.23784462621307378
18,United Kingdom,Europe,19,6.910000045013428,1.337566787948608,1.367932016029358,0.8817351877861022,0.5037600071640014,0.4246908317432404,0.2440176132507324
19,Oman,Africa,20,6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524000000000003
